subject_id,trial_id,task,task_label,obj_dwell_prop,scene_dwell_prop,obj_fix_count,scene_fix_count,obj_dwell_early_ms,obj_dwell_middle_ms,obj_dwell_late_ms,scene_dwell_early_ms,scene_dwell_middle_ms,scene_dwell_late_ms,mean_fix_duration_ms,first_fix_latency_obj_ms,obj_scene_transitions,transition_entropy,obj_revisits,scene_revisits,scanpath_length_deg,fixation_dispersion,saccade_amplitude_mean_deg
3,38,RELATIONAL,0,0.5843549328663165,0.4156450671336836,6,5,289.0,828.0,885.0,992.0,279.0,153.0,311.45454545454544,202.0,5.0,0.9709505944546686,2,2,46.96798950265352,1524.946461224131,4.975647689079284
3,44,RELATIONAL,0,0.3976759199483538,0.6023240800516462,6,8,674.0,230.0,262.0,216.0,1187.0,463.0,221.28571428571428,50.0,4.0,1.0,2,1,83.5933249629575,2277.6431543283693,7.867971638325168
3,59,RELATIONAL,0,0.26773162939297124,0.7322683706070288,5,10,278.0,206.0,354.0,759.0,874.0,659.0,208.66666666666666,484.0,9.0,0.9910760598382222,4,4,50.627644470967454,448.02544474148175,3.8700284854020874
3,87,RELATIONAL,0,0.9280093267269017,0.07199067327309822,10,1,1267.0,971.0,946.0,0.0,0.0,247.0,311.90909090909093,47.0,2.0,1.0,1,0,33.90047847719792,1068.4146627597356,3.4914552145905726
3,107,RELATIONAL,0,0.7495919033627163,0.2504080966372837,8,3,859.0,920.0,517.0,229.0,219.0,319.0,278.45454545454544,38.0,6.0,1.0,3,2,36.750733055153404,551.9154435147864,3.8050835786639152
3,108,RELATIONAL,0,0.4962504075643952,0.5037495924356048,6,6,1264.0,0.0,258.0,247.0,629.0,669.0,255.58333333333334,43.0,6.0,1.0,3,2,57.8119403751784,838.8743716183161,5.7473141161569705
3,109,RELATIONAL,0,0.6400238592305398,0.35997614076946016,8,5,706.0,189.0,1196.0,539.0,668.0,0.0,257.9230769230769,51.0,4.0,1.0,2,1,60.11915360474038,896.6950894744848,5.5222573514063145
3,110,RELATIONAL,0,0.5725016329196604,0.42749836708033967,8,5,1341.0,412.0,0.0,0.0,648.0,661.0,235.53846153846155,41.0,3.0,0.9182958340544896,1,1,53.38435166615973,1263.3925391782366,4.798355614988276
3,114,RELATIONAL,0,0.31903093987157033,0.6809690601284296,6,10,574.0,355.0,164.0,524.0,892.0,917.0,214.125,39.0,5.0,0.9709505944546686,2,2,70.86825040330785,1484.0330755019154,5.431844377883136
3,115,RELATIONAL,0,0.2349476439790576,0.7650523560209425,3,9,506.0,0.0,212.0,487.0,1052.0,799.0,254.66666666666666,56.0,3.0,0.9182958340544896,1,1,85.26232020458941,1683.8289253959263,9.56747141878117
3,118,RELATIONAL,0,0.5091228070175439,0.49087719298245613,6,8,730.0,183.0,538.0,240.0,755.0,404.0,203.57142857142858,54.0,5.0,0.9709505944546686,2,2,61.77053944196268,1524.1821495957884,5.268716978846954
3,119,RELATIONAL,0,0.8158940397350993,0.18410596026490067,7,2,763.0,1184.0,517.0,255.0,301.0,0.0,335.55555555555554,57.0,2.0,1.0,1,0,28.638307602298344,817.2582628061951,3.654987807604902
3,127,RELATIONAL,0,0.6157024793388429,0.384297520661157,9,5,312.0,451.0,876.0,542.0,481.0,0.0,190.14285714285714,37.0,4.0,1.0,2,1,55.9106231946682,1021.0514673065646,4.675466515594844
3,133,RELATIONAL,0,0.8865916692003648,0.11340833079963515,10,1,842.0,1127.0,947.0,373.0,0.0,0.0,299.0,56.0,2.0,1.0,1,0,21.61525591392348,633.2069298420541,2.18726637466241
3,134,RELATIONAL,0,0.8154277699859748,0.18457223001402526,12,2,1189.0,869.0,849.0,0.0,237.0,421.0,254.64285714285714,53.0,4.0,1.0,2,1,34.685844514680674,384.6605052717085,2.752200722138594
3,138,RELATIONAL,0,0.5751279735019572,0.42487202649804273,6,4,1068.0,842.0,0.0,213.0,0.0,1198.0,332.1,80.0,3.0,0.9182958340544896,1,1,37.3063322734228,1068.4809614588366,4.296067517750048
3,161,ITEM,1,0.9005430122892255,0.0994569877107745,9,2,1335.0,1206.0,610.0,0.0,0.0,348.0,318.09090909090907,46.0,4.0,1.0,2,1,37.06612632365046,611.0111992063283,3.840096175136687
3,162,ITEM,1,0.6664674237895996,0.3335325762104005,4,2,1115.0,0.0,0.0,248.0,310.0,0.0,278.8333333333333,35.0,1.0,0.0,0,0,5.762404866863086,204.5581579893601,1.1534144407469478
3,163,ITEM,1,0.8521897810218978,0.1478102189781022,10,3,1015.0,885.0,902.0,190.0,0.0,259.0,252.92307692307693,38.0,5.0,0.9709505944546686,2,2,30.725850191459372,1001.0983556378299,2.6232094088849327
3,164,ITEM,1,0.8012129380053908,0.19878706199460916,12,3,1144.0,688.0,546.0,0.0,368.0,222.0,197.86666666666667,41.0,3.0,0.9182958340544896,1,1,35.41709686319048,882.2227299872309,2.6130948622052976
3,165,ITEM,1,0.7118167202572347,0.28818327974276525,8,2,749.0,821.0,201.0,717.0,0.0,0.0,248.8,45.0,4.0,1.0,2,1,26.102684585634425,355.53558384952106,2.950872676956575
3,166,ITEM,1,0.6904854368932039,0.3095145631067961,7,3,1025.0,573.0,180.0,0.0,404.0,393.0,257.5,44.0,3.0,0.9182958340544896,1,1,18.128172108034388,330.7707304328951,2.031001822309563
3,167,ITEM,1,1.0,0.0,6,0,1186.0,1361.0,0.0,0.0,0.0,0.0,424.5,64.0,0.0,,0,0,9.862905921912546,234.1682775745301,1.9772704057496158
3,169,ITEM,1,0.9398907103825137,0.060109289617486336,9,1,1250.0,1362.0,312.0,0.0,0.0,187.0,311.1,46.0,2.0,1.0,1,0,20.772208678375456,671.4344331538942,2.333317526823218
3,170,ITEM,1,0.8498927805575411,0.1501072194424589,9,2,1179.0,401.0,798.0,0.0,420.0,0.0,254.36363636363637,48.0,2.0,1.0,1,0,23.90017945700937,473.17227019760037,2.4249256289719496
3,171,ITEM,1,0.8810690423162584,0.11893095768374165,6,1,514.0,253.0,1211.0,0.0,267.0,0.0,320.7142857142857,43.0,2.0,1.0,1,0,10.798795140035084,440.0547391057027,1.8049966917073552
