subject_id,auc_rf,auc_lr,n_item,n_relational,n_total,item_prop,low_auc
47,0.863562091503268,0.8031045751633987,36,34,70,0.5142857142857142,False
35,0.8620071684587813,0.9014336917562724,36,31,67,0.5373134328358209,False
59,0.8603174603174604,0.8428571428571429,36,35,71,0.5070422535211268,False
79,0.8583333333333334,0.8595238095238096,30,28,58,0.5172413793103449,False
27,0.8582010582010583,0.8592592592592593,35,27,62,0.5645161290322581,False
53,0.8580246913580247,0.8742283950617284,36,36,72,0.5,False
13,0.8472222222222222,0.8578431372549019,36,34,70,0.5142857142857142,False
23,0.8467741935483871,0.8306451612903227,31,36,67,0.4626865671641791,False
63,0.8455882352941176,0.8129084967320261,34,36,70,0.4857142857142857,False
80,0.8351851851851851,0.8268518518518518,36,30,66,0.5454545454545454,False
51,0.8335067637877211,0.8730489073881373,31,31,62,0.5,False
64,0.8240740740740741,0.8528806584362139,27,36,63,0.42857142857142855,False
54,0.8168103448275862,0.8275862068965517,29,32,61,0.47540983606557374,False
49,0.8155467720685111,0.7483530961791831,23,33,56,0.4107142857142857,False
26,0.8055555555555556,0.801470588235294,34,36,70,0.4857142857142857,False
18,0.8003472222222222,0.7630208333333334,36,32,68,0.5294117647058824,False
67,0.7934782608695652,0.7681159420289856,23,36,59,0.3898305084745763,False
24,0.7857142857142857,0.7857142857142858,36,35,71,0.5070422535211268,False
8,0.7850378787878789,0.8361742424242424,32,33,65,0.49230769230769234,False
11,0.7780952380952382,0.74,30,35,65,0.46153846153846156,False
28,0.7766884531590414,0.7723311546840959,27,34,61,0.4426229508196721,False
5,0.7708333333333334,0.8016975308641976,36,36,72,0.5,False
70,0.7649769585253456,0.7041474654377881,35,31,66,0.5303030303030303,False
75,0.760030864197531,0.7229938271604939,36,36,72,0.5,False
60,0.7596153846153847,0.75,26,32,58,0.4482758620689655,False
7,0.7517361111111112,0.7065972222222222,36,32,68,0.5294117647058824,False
37,0.7497194163860831,0.760942760942761,33,27,60,0.55,False
58,0.7291666666666666,0.7029320987654321,36,36,72,0.5,False
44,0.7214285714285714,0.7246031746031746,36,35,71,0.5070422535211268,False
45,0.7007168458781362,0.7204301075268817,36,31,67,0.5373134328358209,False
17,0.7,0.825925925925926,27,30,57,0.47368421052631576,False
81,0.6904761904761905,0.6857142857142857,36,35,71,0.5070422535211268,True
20,0.6666666666666667,0.6553819444444444,32,36,68,0.47058823529411764,True
82,0.6546296296296297,0.587037037037037,30,36,66,0.45454545454545453,True
78,0.5864197530864197,0.5640432098765431,36,36,72,0.5,True
9,0.5,0.4683333333333334,24,25,49,0.4897959183673469,True
